nombre,genero,calificasion,opiniones,precios,paguina web
Nike,masculino,4.4,5.0,2637.0,AMAZON
Nike,femenino,4.6,325.0,2585.0,AMAZON
Nike,femenino,4.5,142.0,2579.0,AMAZON
Nike,femenino,4.5,2.0,2544.0,AMAZON
Nike,femenino,4.1,6.0,2535.0,AMAZON
Nike,femenino,4.6,8.0,2535.0,AMAZON
Nike,femenino,4.7,61.0,2508.0,AMAZON
Nike,masculino,4.3,107.0,2487.0,AMAZON
Nike,masculino,4.4,7.0,2482.0,AMAZON
Nike,femenino,4.4,690.0,2477.0,AMAZON
Nike,femenino,4.5,21.0,2477.0,AMAZON
Nike,femenino,5.0,3.0,2467.0,AMAZON
Nike,masculino,3.7,20.0,2463.0,AMAZON
QUIERO TENNIS,masculino,5.0,1.0,2458.0,AMAZON
Nike,masculino,4.5,652.0,2453.0,AMAZON
Nike,femenino,4.3,149.0,2446.0,AMAZON
Nike,femenino,3.6,83.0,2443.0,AMAZON
Nike,femenino,4.4,1.0,2422.0,AMAZON
Nike,masculino,4.7,16.0,2420.0,AMAZON
Nike,femenino,3.2,22.0,2386.0,AMAZON
Nike,masculino,4.4,769.0,2385.0,AMAZON
Nike,femenino,4.3,20.0,2382.0,AMAZON
Nike,masculino,4.1,75.0,2381.0,AMAZON
Nike,femenino,4.4,76.0,2359.0,AMAZON
APACHE BOOTS,femenino,4.3,4.0,2346.0,AMAZON
Nike,femenino,5.0,3.0,2315.0,AMAZON
Nike,femenino,4.5,2.0,2280.0,AMAZON
Nike,femenino,5.0,199.0,2279.0,AMAZON
Nike,femenino,3.0,4.0,2279.0,AMAZON
Nike,femenino,4.3,38.0,2279.0,AMAZON
Nike,masculino,3.8,9.0,2234.0,AMAZON
Nike,femenino,4.2,117.0,2218.0,AMAZON
Nike,femenino,4.5,974.0,2177.0,AMAZON
Nike,masculino,4.0,508.0,2173.0,AMAZON
Nike,femenino,4.6,37.0,2149.0,AMAZON
Nike,masculino,4.4,30.0,2139.0,AMAZON
Nike,masculino,4.5,811.0,2123.0,AMAZON
Nike,femenino,4.5,156.0,2122.0,AMAZON
Nike,masculino,5.0,3.0,2099.0,AMAZON
Nike,femenino,4.3,59.0,2099.0,AMAZON
Nike,femenino,4.5,2.0,2092.0,AMAZON
Nike,masculino,4.5,11.0,2079.0,AMAZON
Nike,femenino,4.4,1.0,2079.0,AMAZON
Nike,masculino,4.5,3.0,2077.0,AMAZON
Nike,femenino,4.7,5.0,2076.0,AMAZON
Avia,femenino,4.2,3.0,2067.0,AMAZON
NIKE,femenino,5.0,4.0,2050.0,AMAZON
Nike,masculino,4.5,169.0,2026.0,AMAZON
Nike,masculino,4.4,309.0,2021.0,AMAZON
Nike,femenino,4.4,20.0,2016.0,AMAZON
Nike,femenino,4.5,4.0,2005.0,AMAZON
Nike,masculino,4.6,168.0,2003.0,AMAZON
Nike,masculino,4.4,4.0,2000.0,AMAZON
Nike,masculino,4.7,22.0,1995.0,AMAZON
Nike,femenino,4.6,234.0,1949.0,AMAZON
Nike,masculino,5.0,234.0,1944.0,AMAZON
Nike,femenino,4.2,72.0,1942.0,AMAZON
Nike,femenino,4.7,3.0,1939.0,AMAZON
Nike,femenino,4.6,5.0,1936.0,AMAZON
Nike,masculino,4.1,267.0,1931.0,AMAZON
Nike,masculino,4.5,40.0,1920.0,AMAZON
Nike,masculino,4.0,2.0,1920.0,AMAZON
Nike,femenino,4.3,51.0,1899.0,AMAZON
Nike,femenino,4.0,3.0,1896.0,AMAZON
QUIERO TENNIS,femenino,4.4,38.0,1869.0,AMAZON
Nike,masculino,4.0,43.0,1869.0,AMAZON
Nike,masculino,4.2,406.0,1862.0,AMAZON
Nike,femenino,4.3,15.0,1855.0,AMAZON
Nike,masculino,4.8,92.0,1851.0,AMAZON
Nike,femenino,4.6,102.0,1830.0,AMAZON
Nike,masculino,4.2,4.0,1827.0,AMAZON
Nike,femenino,4.3,17.0,1799.0,AMAZON
Nike,femenino,4.3,2.0,1799.0,AMAZON
Nike,femenino,4.7,2.0,1774.0,AMAZON
Nike,femenino,4.7,456.0,1750.0,AMAZON
Nike,masculino,5.0,41.0,1742.0,AMAZON
Nike,femenino,5.0,1.0,1742.0,AMAZON
Nike,femenino,4.5,116.0,1726.0,AMAZON
Nike,femenino,4.4,3.0,1725.0,AMAZON
Nike,masculino,4.4,30.0,1716.0,AMAZON
Nike,masculino,4.3,3.0,1713.0,AMAZON
Nike,femenino,4.5,2.0,1708.0,AMAZON
Nike,femenino,5.0,68.0,1678.0,AMAZON
Nike,masculino,4.2,47.0,1666.0,AMAZON
Nike,femenino,4.1,35.0,1655.0,AMAZON
Nike,femenino,4.4,180.0,1648.0,AMAZON
Nike,femenino,4.6,322.0,1642.0,AMAZON
Nike,femenino,4.9,63.0,1642.0,AMAZON
Nike,masculino,4.1,8.0,1638.0,AMAZON
CONFORT STEP,femenino,4.0,50.0,1636.0,AMAZON
Nike,femenino,4.1,501.0,1623.0,AMAZON
Nike,femenino,4.3,28.0,1620.0,AMAZON
Kelme,femenino,4.3,20.0,1618.0,AMAZON
Nike,masculino,5.0,859.0,1600.0,AMAZON
Nike,femenino,4.4,1.0,1599.0,AMAZON
APACHE BOOTS,femenino,4.4,36.0,1585.0,AMAZON
Nike,masculino,3.7,8.0,1585.0,AMAZON
Nike,femenino,4.5,9.0,1583.0,AMAZON
Nike,femenino,4.5,9.0,1583.0,AMAZON
Nike,masculino,4.4,3.0,1578.0,AMAZON
Nike,masculino,4.4,137.0,1573.0,AMAZON
Nike,femenino,4.4,421.0,1573.0,AMAZON
Nike,femenino,5.0,373.0,1565.0,AMAZON
Nike,femenino,4.4,10.0,1564.0,AMAZON
Nike,femenino,4.4,406.0,1520.0,AMAZON
Nike,femenino,4.3,837.0,1505.0,AMAZON
Nike,femenino,4.3,158.0,1502.0,AMAZON
Riverline Ergonomic,femenino,4.2,817.0,1500.0,AMAZON
UIN,femenino,4.2,2.0,1500.0,AMAZON
Nike,masculino,3.5,9.0,1499.0,AMAZON
Nike,femenino,4.3,52.0,1489.0,AMAZON
Nike,masculino,4.5,2.0,1470.0,AMAZON
Nike,femenino,4.7,10.0,1462.0,AMAZON
Nike,femenino,4.2,301.0,1450.0,AMAZON
Nike,masculino,4.4,3.0,1425.0,AMAZON
Nike,masculino,4.5,283.0,1420.0,AMAZON
HNFYSMQL,masculino,5.0,811.0,1399.0,AMAZON
Nike,masculino,4.4,59.0,1374.0,AMAZON
Nike,masculino,4.5,13.0,1374.0,AMAZON
Nike,masculino,3.7,80.0,1307.0,AMAZON
CONFORT STEP,masculino,4.3,5.0,1299.0,AMAZON
CONFORT STEP,femenino,4.3,41.0,1299.0,AMAZON
Nike,femenino,4.5,205.0,1299.0,AMAZON
Nike,masculino,5.0,5.0,1299.0,AMAZON
Nike,femenino,4.7,12.0,1299.0,AMAZON
QUIERO TENNIS,femenino,4.3,1.0,1299.0,AMAZON
Nike,femenino,4.2,41.0,1299.0,AMAZON
Nike,femenino,4.3,264.0,1289.0,AMAZON
Nike,femenino,4.2,113.0,1277.0,AMAZON
Nike,femenino,4.4,16.0,1247.0,AMAZON
Nike,femenino,4.6,59.0,1193.0,AMAZON
Nike,femenino,4.4,28.0,1184.0,AMAZON
Nike,femenino,4.5,3.0,1184.0,AMAZON
Nike,femenino,4.7,15.0,1173.0,AMAZON
Nike,masculino,4.8,38.0,1173.0,AMAZON
FitVille,femenino,4.3,48.0,1172.0,AMAZON
APACHE BOOTS,femenino,4.4,36.0,1114.0,AMAZON
HNFYSMQL,femenino,4.3,594.0,1114.0,AMAZON
CONFORT STEP,masculino,4.0,5.0,1114.0,AMAZON
Nike,femenino,4.8,762.0,1113.0,AMAZON
Nike,femenino,4.4,156.0,1058.0,AMAZON
Nike,masculino,4.0,38.0,1041.0,AMAZON
Nike,masculino,4.4,5.0,1036.0,AMAZON
Nike,femenino,4.3,373.0,1036.0,AMAZON
Nike,masculino,4.0,36.0,1036.0,AMAZON
Nike,masculino,4.5,428.0,1003.0,AMAZON
Nike,masculino,3.1,829.0,976.0,AMAZON
Nike,femenino,4.3,136.0,819.0,AMAZON
Nike,femenino,4.2,449.0,815.0,AMAZON
Nike,masculino,5.0,7.0,799.0,AMAZON
Nike,masculino,4.5,3.0,699.0,AMAZON
Nike,femenino,4.1,6.0,699.0,AMAZON
Nike,femenino,4.3,2.0,699.0,AMAZON
Nike,femenino,4.4,688.0,687.0,AMAZON
Asolo,femenino,4.3,18.0,679.0,AMAZON
DREAM PAIRS,femenino,4.2,103.0,679.0,AMAZON
Riverline Ergonomic,femenino,4.0,11.0,679.0,AMAZON
DREAM PAIRS,femenino,4.2,103.0,679.0,AMAZON
PNXF,masculino,4.0,41.0,679.0,AMAZON
Nike,masculino,4.4,97.0,668.0,AMAZON
PNXF,masculino,4.5,2.0,660.0,AMAZON
DREAM PAIRS,femenino,4.2,11.0,660.0,AMAZON
DREAM PAIRS,femenino,4.4,103.0,660.0,AMAZON
Nike,masculino,4.7,13.0,639.0,AMAZON
APACHE BOOTS,femenino,4.4,41.0,588.0,AMAZON
Nike,masculino,5.0,36.0,588.0,AMAZON
Nike,masculino,4.6,5.0,588.0,AMAZON
Nike,femenino,4.5,41.0,549.0,AMAZON
Nike,femenino,3.7,8.0,499.0,AMAZON
Nike,masculino,4.1,102.0,499.0,AMAZON
PNXF,femenino,4.2,103.0,478.0,AMAZON
Nike,masculino,4.6,10.0,478.0,AMAZON
Meeyoga,femenino,5.0,3.0,456.0,AMAZON
Nike,masculino,4.5,48.0,439.0,AMAZON
APACHE BOOTS,masculino,4.2,36.0,399.0,AMAZON
Nike,femenino,4.4,63.0,399.0,AMAZON
Fratello,masculino,4.0,1.0,369.0,AMAZON
Nike,femenino,4.3,511.0,344.0,AMAZON
Genérico,femenino,2.0,731.0,339.0,AMAZON
Nike,masculino,4.5,126.0,314.0,AMAZON
Nike,masculino,4.3,38.0,299.0,AMAZON
QUIERO TENNIS,masculino,4.2,11.0,299.0,AMAZON
LEON,femenino,2.0,116.0,299.0,AMAZON
Nike,femenino,5.0,142.0,299.0,AMAZON
CBYXDY,masculino,5.0,115.0,299.0,AMAZON
MaxBlaster,masculino,5.0,36.0,299.0,AMAZON
ZUMECA,femenino,4.2,213.0,289.0,AMAZON
Nike,femenino,4.5,412.0,288.0,AMAZON
Nike,femenino,4.2,4.0,284.0,AMAZON
Nike,femenino,5.0,63.0,284.0,AMAZON
Nike,femenino,4.6,178.0,251.0,AMAZON
Crazy Lazis,masculino,4.2,169.0,240.0,AMAZON
Nike,femenino,4.0,412.0,199.0,AMAZON
BYHANG,masculino,4.4,16.0,179.0,AMAZON
